Gender,Age,Batch,Grad_Year,Background,Major,Specialization,University,City,Student_Type,Selection_Reason,Job_Domain,Job_Role,Salary,Satisfaction,Status,Job_Support_Rating,Job_Support_Explain,Faculty_Rating,Faculty_Explain,Resources_Rating,Resources_Explain,Labs_Rating,Labs_Explain,Sports_Rating,Sports_Explain,Cafe_Rating,Cafe_Explain,Hostel_Rating,Hostel_Explain,Events_Rating,Events_Explain,Campus_Rating,Campus_Explain,Mgmt_Rating,Mgmt_Explain,Overall_Rating,Overall_Explain,Hardships,Lessons,Recommend,Recommend_Why,Job_Ready,Platform_Wish,Final_Comments,Repairing_Things,Working_Outdoors,Building_Things,Fixing_Appliances,Operating_Machines,Building_Models,Organizing_Info,Handling_Records,Balancing_Budgets,Meeting_Records,Systematic_Schedules,Finding_Errors,Solving_Problems,Experimenting,Investigating_Causes,Logic_Discussion,Analyzing_Graphs,Music_Activities,Designing_Posters,Writing_Plays,Acting_Films,Creative_Ideas,Teaching_Others,Helping_People,Volunteer_Work,Charity_Activities,Training_Others,Including_Others,Leading_Groups,Presenting_Ideas,Persuading_People,Leadership_Goal,Taking_Risks,Competitive_Situations,Submission_Status
Male,23.0,2020.0,2024.0,ICS,STEM,SE,"Bahria University, H-11 Campus, Islamabad",Islamabad,Studying only,Location,IT,Android Dev,50k – 100k,3.0,Employed within 6 months,3.0,placement office is active,3.0,faculty is mix of good and bad,3.0,library is decent,4.0,labs are new,2.0,dusty ground,3.0,cafe is pricey,1.0,,3.0,frequent events,3.0,H-11 is under construction,2.0,parking is a mess,3.0,average experience,construction dust,adaptability,Maybe,social life is good,Somewhat,No,,5,5,4,5,5,4,3,4,4,4,4,4,5,5,5,5,4,2,1,3,3,2,4,4,4,4,4,4,3,4,4,4,3,4,
Female,22.0,2021.0,2025.0,A-Levels (Arts),Arts & Humanities,English,"Quaid-e-azam University, Islamabad",Islamabad,Studying only,Ranking,Education,Lecturer,50k – 100k,4.0,Still searching,2.0,academic focus mostly,5.0,literature dept is historic,3.0,library is old,1.0,,4.0,walking tracks are nice,3.0,huts chai is famous,3.0,hostel politics is scary,4.0,diverse culture,5.0,margalla hills view,2.0,strikes disrupt semester,4.0,intellectual growth,political awareness,critical theory,Yes,for academia,No,Yes,,2,4,4,4,4,2,2,2,1,1,1,2,4,4,2,2,3,5,4,4,5,5,4,4,4,2,4,3,2,2,3,3,4,2,
Male,26.0,2017.0,2021.0,DAE / Diploma,STEM,Electrical,"Riphah International University, Islamabad",Islamabad,Studying along with a job,Fee structure,Engineering,Field Engineer,50k – 100k,3.0,Employed within 12 months,3.0,placement is average,3.0,faculty is okay,3.0,library is standard,3.0,labs are functional,2.0,cricket ground is there,3.0,desie food,3.0,hostel is strict,2.0,naat competitions mostly,3.0,I-14 is far,4.0,islamic values,3.0,decent for the price,travel distance,ethics,Maybe,budget friendly,Somewhat,Yes,,4,4,3,4,4,4,3,2,2,4,3,2,4,5,5,3,5,3,3,2,2,3,4,4,2,3,4,2,3,3,2,2,3,3,
Female,24.0,2019.0,2023.0,FSc Pre-Engineering,STEM,CS,"Institute Of Space Technology, Islamabad",Islamabad,Studying only,Ranking,IT,Data Analyst,50k – 100k,4.0,Employed within 6 months,3.0,suparco influence is strong,4.0,teachers are helpful,3.0,library is good,4.0,labs are good,3.0,sports week is fun,3.0,food is okay,3.0,hostel is on highway,4.0,space week is cool,4.0,scenic location,4.0,admin is disciplined,4.0,good disciplined uni,commute,discipline,Yes,disciplined environment,Somewhat,Yes,,4,4,5,5,5,3,2,3,4,2,3,4,5,4,4,4,3,5,3,5,4,3,3,2,3,4,4,4,2,4,2,3,4,3,
Male,25.0,2018.0,2022.0,ICS,STEM,CS,"Federal Urdu University, Islamabad",Islamabad,Studying along with a job,Fee structure,IT,Network Support,Less than 50k,2.0,Still searching,1.0,zero placement help,2.0,teachers miss classes,1.0,no books in library,1.0,labs are broken,1.0,no sports,2.0,unhygienic canteen,1.0,,1.0,no events,1.0,rented building,1.0,admin is incompetent,1.0,worst decision,load shedding,self study,No,degree mill,No,Yes,,4,5,4,5,5,4,2,2,3,4,4,4,4,4,4,4,5,5,3,4,5,5,3,2,4,3,2,4,4,4,4,4,3,2,
Female,23.0,2020.0,2024.0,A-Levels (Science),STEM,Electrical,"National University Of Technology, Islamabad",Islamabad,Studying only,Location,Engineering,Trainee Engineer,50k – 100k,4.0,Employed within 6 months,5.0,fwo projects help in jobs,4.0,practical focused teachers,3.0,library is growing,5.0,labs are industrial grade,2.0,sports are limited,3.0,food is standard,1.0,,2.0,study focus mostly,4.0,disciplined campus,5.0,army admin is efficient,4.0,practical skills are good,strict routine,punctuality,Yes,industry skills,Yes,Yes,,5,4,5,4,4,5,4,4,3,4,2,2,5,4,3,3,5,3,3,3,1,2,3,3,3,2,2,4,4,3,4,4,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat,Yes,,3,4,3,2,3,3,2,2,2,4,2,2,2,4,2,3,4,4,3,4,4,2,3,4,4,2,3,2,4,4,4,4,4,3,
Male,22.0,2021.0,2025.0,FSc Pre-Engineering,STEM,CS,"FAST NUCES, Islamabad",Islamabad,Studying only,Job placement,IT,React Developer,100k – 200k,5.0,Employed before graduation,5.0,software houses literally camp outside fast to hire us,2.0,some teachers have huge egos and give F grades for fun,3.0,library is too small for the amount of students we have,5.0,labs are open 24/7 during fyp week which saves lives,1.0,ground is just a mud patch in G-block,3.0,suffa chai is the only thing keeping us sane,1.0,,1.0,nascon is the only event otherwise its dead,2.0,campus is tiny feels like a high school,2.0,dc committee is very active they fine you for playing cards,4.0,ragra is real but it makes you a diamond,mental breakdown,time management,Yes,guaranteed job,Yes,Yes,,5,5,3,4,5,4,4,2,4,2,4,3,4,5,5,3,4,4,2,3,4,3,4,2,2,4,2,2,3,3,3,3,4,2,
Female,24.0,2019.0,2023.0,A-Levels (Science),STEM,Architecture,"NUST, Islamabad",Islamabad,Studying only,Ranking,Architecture,Junior Architect,50k – 100k,3.0,Employed within 6 months,3.0,architecture market is slow but nust tag helps,5.0,SADA faculty is brilliant but they overwork you,5.0,central library is the best place to sleep between classes,5.0,studio access is 24/7 for architecture students,3.0,sports complex is far from sada so we rarely go,5.0,C1 fries and paratha rolls are legendary,4.0,razi hostel is good but curfew is annoying,5.0,olympiad and welcome parties are insane,5.0,H-12 is massive and green love walking here,2.0,shuttle timing is unreliable sometimes,4.0,studio culture is toxic but you learn a lot,sleepless nights,design thinking,Yes,best campus life,Somewhat,Yes,,5,5,5,5,5,5,2,2,2,2,4,2,5,4,4,3,4,3,3,3,4,3,4,2,2,3,3,2,3,2,4,3,2,4,
Male,25.0,2018.0,2022.0,ICS,STEM,CS,"Comsats University Islamabad, Islamabad",Islamabad,Studying only,Location,IT,Backend Dev,50k – 100k,3.0,Employed within 12 months,3.0,placement office exists but you have to apply yourself,3.0,semester system is relaxed compared to fast,4.0,junaid zaidi library is huge and aesthetic,3.0,labs in N-block are okay but some pcs are slow,4.0,cricket ground is always booked,5.0,ayaans tea stall is the heart of comsats,2.0,private hostels in park road are unsafe,4.0,student week concerts are actually good,3.0,campus is nice but walking from gate to dept is a hike,2.0,yellow buses are always overcrowded and drivers are rash,3.0,good middle class option,bus commute,survival,Yes,balanced life,Somewhat,Yes,,5,5,4,5,4,3,3,2,4,3,4,4,5,5,5,4,5,1,1,1,2,3,3,4,3,2,2,4,3,4,2,3,3,2,
Female,23.0,2020.0,2024.0,A-Levels (Business),Business & Economics,BBA,"Bahria University, E-8 Campus, Islamabad",Islamabad,Studying along with a job,Location,Business,HR Executive,50k – 100k,4.0,Employed within 6 months,3.0,they focus a lot on corporate grooming,4.0,faculty is mostly visiting from corporate companies,3.0,library is decent for group studies,3.0,computer labs are average,2.0,gym is very small,4.0,cafe food is good specially the pasta,1.0,,4.0,social life is the best feature here,4.0,E-8 location is elite,1.0,parking is a nightmare i spent 20 mins finding a spot daily,4.0,chill scene and good degree,parking issues,networking,Yes,social grooming,Somewhat,Yes,,3,4,4,2,2,3,5,5,5,5,5,5,2,2,3,3,4,3,3,3,3,4,2,4,2,3,4,2,5,5,5,5,5,4,
Male,26.0,2017.0,2021.0,FSc Pre-Engineering,Social Sciences,Anthropology,"Quaid-e-azam University, Islamabad",Islamabad,Studying only,Ranking,NGO,Field Researcher,50k – 100k,4.0,Employed within 12 months,2.0,career expo is useless for social sciences,5.0,anthropology dept is the best in south asia,2.0,library is old and scary at night,1.0,,4.0,hiking trails behind physics dept are cool,5.0,huts chai paratha is an emotion not just food,2.0,hostel councils fight a lot its unsafe,3.0,cultural nights are fun but get political,5.0,campus is a literal forest very peaceful,2.0,strikes happen every semester causing delays,4.0,intellectual freedom is high,politics,critical thinking,Yes,for open minds,No,Yes,,3,4,2,4,3,3,2,4,2,4,2,3,3,5,3,5,4,3,4,3,3,4,4,4,4,5,3,4,2,2,2,3,2,4,
Male,24.0,2019.0,2023.0,ICS,STEM,Cyber Security,"Air University, Islamabad",Islamabad,Studying only,Location,IT,SOC Analyst,100k – 200k,5.0,Employed within 3 months,4.0,nafstec job fair is actually useful,4.0,cyber security faculty is very experienced,4.0,digital library is good,5.0,labs have kali linux installed and good specs,2.0,sports are limited to table tennis mostly,3.0,cafe is small and expensive,1.0,,3.0,airtech is the only big technical event,4.0,margalla view from rooftop is amazing,5.0,admin is strict about dress code and id cards,4.0,rising star in computing field,strict rules,discipline,Yes,best for cyber,Yes,Yes,None.,5,5,4,5,5,4,3,2,3,3,3,3,3,4,4,4,3,2,1,2,1,2,4,3,4,3,2,3,2,2,3,4,3,4,
Female,22.0,2021.0,2025.0,FSc Pre-Medical,STEM,Biotechnology,"NUST, Islamabad",Islamabad,Studying only,Ranking,Research,Research Assistant,Less than 50k,3.0,Pursuing further studies,2.0,biotech jobs are non existent in pakistan,5.0,ASAB teachers are researchers mostly,5.0,library has access to springer and ieee,5.0,labs have pcr machines and sequencing tools,4.0,swimming pool is separate for girls,4.0,C2 food is good but gets boring,4.0,fatima hostel is nice but mess food is oily,5.0,nust olympiad is the highlight of the year,5.0,H-12 is beautiful specially in rain,3.0,cms portal crashes every time during course registration,4.0,great for research bad for jobs,academic pressure,research skills,Yes,if you want to go abroad,No,Yes,,4,5,5,4,4,5,2,2,4,3,4,4,5,4,3,5,4,3,4,4,3,2,4,3,2,4,4,2,2,3,4,3,2,3,
Male,25.0,2018.0,2022.0,DAE / Diploma,STEM,Mechanical,"Institute Of Space Technology, Islamabad",Islamabad,Studying only,Ranking,Engineering,Design Engineer,50k – 100k,4.0,Employed within 6 months,4.0,suparco hires top grads directly,4.0,faculty is passionate about aerospace,3.0,library is quiet,5.0,wind tunnel lab is unique in pakistan,3.0,sports gala is competitive,3.0,food is average canteen style,3.0,hostel is far near rawat,4.0,world space week is a big deal here,3.0,location is very far from islamabad city,4.0,admin is disciplined,4.0,unique niche but isolated location,commute is long,discipline,Yes,if you love space,Yes,Yes,,5,5,5,5,4,4,2,3,4,3,3,2,4,5,5,5,3,3,2,1,2,1,4,4,3,2,4,3,2,3,2,3,3,4,
Female,23.0,2020.0,2024.0,ICS,STEM,SE,"International Islamic University, Islamabad",Islamabad,Studying only,Fee structure,IT,Web Developer,50k – 100k,3.0,Employed within 6 months,2.0,placement office is sleeping mostly,3.0,female campus teachers are strict about attendance,2.0,central library is huge but separate timing for girls,2.0,labs are outdated with old pcs,2.0,sports complex is there but no coaching,3.0,cafeteria is cheap,3.0,hostel rules are very conservative,1.0,events are not allowed mostly religious ones only,3.0,faisal mosque is the only landmark,2.0,bus transport is humiliatingly overcrowded,3.0,cheap degree but zero exposure,bus issues,patience,Maybe,budget friendly,No,Yes,,5,5,4,5,4,5,4,4,3,2,3,2,5,5,4,4,5,4,4,4,3,4,4,3,3,4,3,3,3,3,2,3,4,4,
Male,27.0,2016.0,2020.0,FSc Pre-Engineering,STEM,Electrical,"PIEAS, Islamabad",Islamabad,Studying only,Ranking,Engineering,Control Engineer,100k – 200k,5.0,Employed before graduation,5.0,fellowship guarantees a job at PAEC,5.0,faculty are top scientists,4.0,library is good for technical books,5.0,labs are best in country,4.0,sports are necessary to vent out stress,3.0,mess food is subsidized,5.0,hostel life is very community based,3.0,technical workshops only,3.0,nilore is a village basically no city life,5.0,admin is very efficient,5.0,elite institute but isolates you from world,heavy workload,focus,Yes,for genius students,Yes,Yes,,4,5,4,5,5,5,3,3,4,3,3,3,3,4,5,4,3,5,4,3,5,3,2,2,3,3,2,2,3,4,4,3,3,4,
Female,24.0,2019.0,2023.0,ICS,STEM,CS,"Bahria University, H-11 Campus, Islamabad",Islamabad,Studying only,Location,IT,Frontend Dev,50k – 100k,3.0,Employed within 12 months,2.0,CS placement is weak compared to business,3.0,faculty is mix of permanent and visiting,3.0,library is brand new,4.0,labs are new with good pcs,2.0,ground is full of dust and construction material,3.0,cafe is overpriced,1.0,,3.0,concerts happen but less than E-8,3.0,H-11 campus is still under construction,2.0,parking is a mud pit when it rains,3.0,average university experience,construction noise,adaptability,Maybe,social life is good,No,Yes,,5,5,4,5,4,5,4,4,3,4,2,2,4,4,5,5,5,1,3,1,3,3,4,3,2,2,4,3,3,2,3,3,4,4,
Male,23.0,2020.0,2024.0,A-Levels (Science),STEM,Civil,"NUTECH, Islamabad",Islamabad,Studying only,Location,Construction,Site Supervisor,50k – 100k,4.0,Employed within 6 months,5.0,fwo links help in getting internships,4.0,teachers are practical focused,3.0,library is small,5.0,labs are industrial standard,2.0,sports are limited,3.0,food is standard,1.0,,2.0,strictly study focus,4.0,campus is clean but small,5.0,army admin is very organized,4.0,good for practical skills,strict routine,punctuality,Yes,industry readiness,Yes,Yes,,4,5,5,5,5,4,2,4,2,4,4,3,5,3,4,3,4,1,3,3,3,3,4,2,2,2,3,4,4,2,3,2,4,4,
Female,22.0,2021.0,2025.0,I.Com,Social Sciences,Media,"Riphah International University, Islamabad",Islamabad,Studying only,Course outline,Media,Content Writer,50k – 100k,4.0,Employed within 6 months,3.0,media dept has good industry links,4.0,teachers are working professionals,3.0,studio is available,4.0,mac labs for editing,1.0,no sports for girls,3.0,desie food options,4.0,hostel is safe and strict,2.0,islamic events mostly,3.0,I-14 location is very far,4.0,islamic values are enforced,3.0,good for values based education,commute issues,ethics,Yes,conservative environment,Somewhat,Yes,Good experience.,4,2,4,4,3,4,2,3,3,4,2,4,4,4,4,4,2,3,3,4,4,2,5,5,5,4,4,4,3,2,3,4,3,3,
Male,25.0,2018.0,2022.0,ICS,STEM,CS,"FAST NUCES, Islamabad",Islamabad,Studying only,Job placement,IT,Data Scientist,100k – 200k,5.0,Employed before graduation,5.0,job market loves fast graduates,2.0,one credit hour feels like four here,3.0,library needs more charging spots,5.0,labs are good but crowded,1.0,no ground just a lawn,2.0,cafe food is unhealthy,1.0,,1.0,no social life whatsoever,2.0,campus is suffocating,1.0,management treats us like school kids,4.0,hate the process love the salary,ragra,resilience,Yes,for money,Yes,Yes,,5,5,5,4,5,5,2,4,3,4,4,3,3,4,5,3,5,3,5,5,3,4,4,4,4,4,2,4,4,4,2,2,4,4,
Female,24.0,2019.0,2023.0,FSc Pre-Engineering,STEM,Electrical,"NUST, Islamabad",Islamabad,Studying only,Ranking,Engineering,Telecom Engineer,50k – 100k,3.0,Employed within 12 months,3.0,electrical jobs are less generally,5.0,seecs faculty is very demanding,5.0,library is my second home,5.0,labs are world class,4.0,swimming pool is nice,5.0,C3 cafe has best biryani,4.0,hostel washing machines are always busy,5.0,olympiad nights are memorable,5.0,H-12 is green and peaceful,3.0,relative grading is unfair,4.0,amazing experience overall,tough grading,networking,Yes,brand name,Somewhat,Yes,,4,5,5,5,5,5,3,2,2,4,2,4,4,5,5,5,4,4,5,3,3,5,2,3,3,2,2,2,4,2,2,3,3,4,
Male,26.0,2017.0,2021.0,A-Levels (Mixed),Business & Economics,Economics,"Quaid-e-azam University, Islamabad",Islamabad,Studying only,Ranking,Business,Analyst,50k – 100k,4.0,Employed within 12 months,2.0,no corporate networking here,5.0,economics school is prestigious,3.0,library has rare books,1.0,,4.0,walking in university is hiking,3.0,huts food is cheap and tasty,4.0,hostel life is very political,3.0,ethnic councils control events,5.0,nature is beautiful,2.0,admin is bureaucratic,4.0,academically strong,politics,critical theory,Yes,for research,No,No,,3,4,4,4,4,4,5,5,4,5,5,5,2,3,3,4,3,4,2,4,3,4,2,3,2,2,3,4,4,5,5,4,5,5,
Female,23.0,2020.0,2024.0,ICS,STEM,SE,"Szabist, Islamabad",Islamabad,Studying only,Location,IT,SQAE,50k – 100k,3.0,Employed within 3 months,3.0,alumni help in finding jobs,3.0,visiting faculty is hit or miss,2.0,library is just a room,2.0,labs are average,1.0,table tennis only,2.0,tuck shop has limited items,1.0,,3.0,zambeel fest is fun,2.0,campus is a corporate building,3.0,staff is helpful,3.0,good degree no campus life,elevator traffic,corporate grooming,Maybe,convenient location,Somewhat,Yes,,5,4,4,4,4,4,4,3,4,2,4,2,3,4,3,3,3,3,2,1,1,1,4,4,3,4,4,3,4,2,4,2,2,4,
Male,24.0,2019.0,2023.0,FSc Pre-Engineering,STEM,Civil,"Capital University Of Science And Technology, Islamabad",Islamabad,Studying along with a job,Influence of teachers,Construction,Surveyor,50k – 100k,3.0,Employed within 12 months,3.0,placement bureau is active,4.0,civil faculty is experienced,3.0,portal is good,5.0,civil labs are heavy duty,4.0,basketball court is popular,3.0,cafe is clean,1.0,,3.0,visio spark is the main event,4.0,building is purpose built,3.0,fines for dress code,3.0,good facilities,strict rules,discipline,Maybe,backup option,Somewhat,Yes,,3,5,3,4,4,5,3,2,4,2,4,2,5,4,4,5,4,5,3,4,5,5,3,3,3,4,3,4,3,4,3,2,4,2,
Female,22.0,2021.0,2025.0,I.Com,Social Sciences,Psychology,"Bahria University, E-8 Campus, Islamabad",Islamabad,Studying only,Location,Healthcare,Counselor,Less than 50k,4.0,Still searching,2.0,placement is weak for social sciences,4.0,psychology dept is good,3.0,library is quiet,1.0,,2.0,gym is small,4.0,cafe has good variety,1.0,,4.0,social events are frequent,4.0,E-8 is safe and posh,2.0,parking is a daily struggle,4.0,good environment,parking stress,confidence,Yes,social life,No,Yes,,4,2,3,3,2,3,4,2,4,2,3,4,2,3,2,2,4,3,3,2,3,3,4,4,4,5,4,4,3,5,4,3,4,3,
Male,25.0,2018.0,2022.0,ICS,STEM,CS,"Federal Urdu University, Islamabad",Islamabad,Studying along with a job,Fee structure,IT,Support,Less than 50k,2.0,Still searching,1.0,no placement support,2.0,teachers are often late,1.0,library is empty,1.0,labs have broken pcs,1.0,no sports,2.0,canteen is dirty,1.0,,1.0,no events,1.0,rented building,1.0,admin loses forms,1.0,waste of time,power cuts,self study,No,degree mill,No,Yes,,5,5,4,4,5,4,3,2,3,2,3,2,5,5,5,5,5,2,2,2,3,3,2,2,2,3,3,4,2,3,4,3,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat,Yes,,3,4,4,2,2,4,4,2,2,2,2,3,3,4,3,2,4,4,3,3,2,2,4,3,3,2,3,3,2,3,4,2,3,4,
Male,23.0,2020.0,2024.0,ICS,STEM,AI,"FAST NUCES, Islamabad",Islamabad,Studying only,Job placement,IT,AI Engineer,100k – 200k,5.0,Employed before graduation,5.0,industry prefers us over nustians for coding roles,2.0,dr wseem is good but grading is absolute hell,3.0,library is decent but finding a seat is a war,5.0,gpu labs are the only reason i survived fyp,1.0,ground is literally a patch of dirt,2.0,cafe food is basically grease and oil,1.0,,1.0,we dont have events we have deadlines,2.0,campus is too small for 3000 students,2.0,academic office is useless they lose forms,4.0,4 years of torture for a lifetime of ease,grade deflation,resilience,Yes,high paying jobs,Yes,Yes,,5,5,5,5,4,4,3,2,4,4,3,3,5,4,5,5,4,3,2,1,2,2,3,2,3,3,2,3,4,2,3,3,3,3,
Female,24.0,2019.0,2023.0,FSc Pre-Engineering,STEM,Chemical Engineering,"NUST, Islamabad",Islamabad,Studying only,Ranking,Engineering,Process Engineer,50k – 100k,3.0,Employed within 12 months,4.0,scme has good links with fertilizer companies,5.0,faculty is research focused which is good for masters,5.0,central library has everything,5.0,labs are state of the art specifically mass transfer lab,4.0,swimming pool is clean,5.0,concordia 1 tea is an addiction,4.0,fatima hostel is strict about the 9pm curfew,5.0,olympiad opening ceremony was magical,5.0,H-12 is the most beautiful campus in pakistan,3.0,shuttle buses are always full in mornings,5.0,proud to be an nustian,relative grading stress,networking,Yes,elite alumni network,Yes,Yes,,3,4,3,5,5,4,4,2,3,2,3,2,4,5,4,4,4,1,2,3,2,3,2,2,4,4,3,4,3,4,4,4,4,3,
Male,25.0,2018.0,2022.0,ICS,STEM,SE,"Comsats University Islamabad, Islamabad",Islamabad,Studying only,Location,IT,Mobile Dev,50k – 100k,3.0,Employed within 6 months,3.0,placement office is average,2.0,visiting faculty cancels classes last minute,4.0,junaid zaidi library is aesthetic,3.0,labs are okay but ac is often not working,4.0,football ground is active,5.0,ayaans paratha roll is legendary,2.0,private hostels in park road are shady,4.0,student week is the only fun time,3.0,campus is nice but dogs are everywhere,2.0,guards check id cards like border patrol,3.0,decent option if you cant afford nust,bus transport issues,patience,Yes,balanced uni life,Somewhat,Yes,Good experience.,4,5,5,4,4,5,4,4,2,2,4,3,5,5,5,5,5,2,4,2,2,3,2,2,4,4,3,2,4,4,3,2,4,3,
Female,23.0,2020.0,2024.0,A-Levels (Business),Business & Economics,Accounting & Finance,"Bahria University, E-8 Campus, Islamabad",Islamabad,Studying along with a job,Location,Finance,Tax Associate,50k – 100k,4.0,Employed within 6 months,3.0,business school gets more attention than engineering,4.0,teachers are ca qualified mostly,3.0,library is cozy,2.0,computer labs are old,2.0,gym is tiny,4.0,cafe has subway so its good,1.0,,4.0,concerts are frequent,4.0,E-8 is very secure and posh,2.0,parking space is non existent,4.0,good social life and degree,parking wars,confidence,Yes,grooming,Somewhat,Yes,,1,1,1,3,1,1,4,5,4,5,5,4,2,2,2,3,3,2,4,4,3,4,4,3,3,4,2,2,4,3,5,3,4,4,
Male,26.0,2017.0,2021.0,FSc Pre-Engineering,Social Sciences,Pol Science,"Quaid-e-azam University, Islamabad",Islamabad,Studying only,Ranking,Media,Journalist,50k – 100k,4.0,Employed within 12 months,1.0,zero help for jobs you are on your own,5.0,school of politics is historic,3.0,library is huge but old,1.0,,5.0,hiking behind the campus is best,4.0,huts chai is emotion,2.0,hostel councils are violent sometimes,3.0,cultural nights are very ethnic based,5.0,best natural environment in islamabad,2.0,strikes happen every year delaying degree,4.0,intellectually stimulating,campus politics,critical analysis,Yes,for css aspirants,No,Yes,,2,3,2,3,3,2,3,2,3,4,2,3,3,4,5,5,3,2,4,4,3,2,4,5,5,4,5,5,5,3,4,3,5,4,
Male,24.0,2019.0,2023.0,ICS,STEM,Gaming,"Air University, Islamabad",Islamabad,Studying only,Location,IT,Game Dev,100k – 200k,4.0,Employed within 3 months,4.0,gaming and multimedia dept is unique here,4.0,teachers are actually gamers,4.0,library is good,5.0,vr labs are available,2.0,sports are limited,3.0,cafe is small,1.0,,3.0,air tech gaming competition is fun,4.0,margalla view is nice,5.0,very strict discipline no bunking allowed,4.0,good niche field,strict attendance,focus,Yes,for gaming niche,Yes,Yes,,3,3,4,5,5,4,2,3,3,4,4,2,5,5,5,5,4,1,2,1,3,1,2,3,2,4,4,3,3,3,2,4,3,3,
Female,22.0,2021.0,2025.0,FSc Pre-Medical,STEM,Psychology,"NUST, Islamabad",Islamabad,Studying only,Ranking,Healthcare,Counselor,Less than 50k,3.0,Still searching,2.0,s3h placement is weak compared to engineering,5.0,faculty is foreign qualified,5.0,library is great,3.0,labs are okay,4.0,sports complex is good,5.0,c2 food court has everything,4.0,hostels are safe,5.0,olympiad is amazing,5.0,H-12 is love,3.0,course registration on cms is a nightmare,4.0,great experience but job market is tough,gpa pressure,empathy,Yes,brand name,No,Yes,None.,5,5,5,5,5,4,4,3,2,3,3,3,5,4,5,5,5,4,2,2,4,3,2,3,2,2,4,3,2,4,2,2,3,4,
Male,25.0,2018.0,2022.0,DAE / Diploma,STEM,Electrical,"Institute Of Space Technology, Islamabad",Islamabad,Studying only,Ranking,Engineering,Avionics Engineer,100k – 200k,4.0,Employed within 6 months,4.0,aviation industry prefers IST grads,4.0,teachers are ex air force mostly,3.0,library is standard,5.0,avionics labs are expensive and good,3.0,sports gala is competitive,3.0,canteen is average,3.0,hostel is far,4.0,space week is cool,4.0,scenic location but far,4.0,disciplined admin,4.0,specialized degree,commute,discipline,Yes,for aviation,Yes,Yes,,5,5,4,5,4,4,3,4,4,4,2,3,5,4,5,5,4,3,2,3,3,3,2,3,4,4,3,4,2,4,2,3,2,4,
Female,23.0,2020.0,2024.0,ICS,STEM,CS,"International Islamic University, Islamabad",Islamabad,Studying only,Fee structure,IT,Teacher,Less than 50k,2.0,Still searching,1.0,placement office is dead,3.0,female teachers are strict,2.0,library is segregated and timing is issue,2.0,labs have old dual core pcs,2.0,sports complex is unmaintained,3.0,cafeteria is cheap,3.0,hostel is like a prison,1.0,no music events allowed,3.0,faisal mosque view is nice,2.0,buses are dangerously overcrowded,3.0,budget friendly but frustrating,bus suffocations,patience,Maybe,if budget is tight,No,Yes,,3,5,3,4,4,3,3,4,2,2,3,2,4,5,4,4,4,5,5,4,4,4,4,2,3,4,2,4,4,4,4,2,3,2,
Male,27.0,2016.0,2020.0,FSc Pre-Engineering,STEM,Mechanical,"PIEAS, Islamabad",Islamabad,Studying only,Ranking,Engineering,Mechanical Engineer,100k – 200k,5.0,Employed before graduation,5.0,paec job is guaranteed for fellows,5.0,faculty are top researchers,4.0,library is technical focused,5.0,labs are best in pakistan,4.0,sports are vital here,3.0,mess food is average,5.0,hostel community is strong,3.0,technical events only,3.0,isolated location,5.0,smooth process,5.0,best engineering institute,workload,time mgmt,Yes,for merit holders,Yes,Yes,,4,4,4,3,3,4,2,2,3,2,2,3,5,4,5,3,4,5,4,3,5,5,4,3,4,2,4,4,4,2,2,4,2,4,
Female,24.0,2019.0,2023.0,ICS,STEM,IT,"Bahria University, H-11 Campus, Islamabad",Islamabad,Studying only,Location,IT,SQAE,50k – 100k,3.0,Employed within 12 months,2.0,IT placement is slower than E-8,3.0,faculty is new mostly,3.0,library is new and empty,4.0,labs are good,2.0,ground is dusty,3.0,cafe is costly,1.0,,3.0,events happen often,3.0,H-11 is still building up,2.0,parking is a mud pit,3.0,okay experience,dust allergy,social skills,Maybe,good social life,No,Yes,,5,5,5,5,5,4,3,2,3,3,3,3,5,4,5,4,5,2,2,2,4,2,2,4,4,4,3,3,2,3,4,2,4,4,
Male,23.0,2020.0,2024.0,A-Levels (Science),STEM,Civil,"NUTECH, Islamabad",Islamabad,Studying only,Location,Construction,Quantity Surveyor,50k – 100k,4.0,Employed within 6 months,5.0,nlc and fwo take interns,4.0,practical based learning,3.0,library is small,5.0,labs are industrial,2.0,sports are less,3.0,food is standard,1.0,,2.0,study focus,4.0,clean campus,5.0,army discipline is visible,4.0,job ready skills,strict routine,discipline,Yes,industry focused,Yes,Yes,,5,3,4,5,5,5,2,4,3,4,3,3,5,5,4,4,4,4,2,2,3,2,3,3,2,2,3,2,4,4,3,3,3,4,
Female,22.0,2021.0,2025.0,I.Com,Social Sciences,Media,"Riphah International University, Islamabad",Islamabad,Studying only,Course outline,Media,Social Media Manager,50k – 100k,4.0,Employed within 6 months,3.0,media dept is active,4.0,teachers are industry professionals,3.0,studio is nice,4.0,editing labs are mac based,1.0,no sports for girls,3.0,food is desie style,4.0,hostel is secure,2.0,islamic events,3.0,I-14 is far,4.0,islamic ethics,3.0,value based education,commute,values,Yes,conservative environment,Somewhat,Yes,,3,3,2,3,2,3,3,2,3,2,4,3,4,5,4,3,4,3,3,2,4,2,3,4,4,3,5,5,4,2,4,3,3,4,
